,text_tokenized
33,"['another', 'rep', 'kick', 'butt', 'naelah', 'represent', 'team', 'beautifully', 'thank']"
34,"['beautiful', 'frontend', 'design', 'right', 'now', 'cool', 'still', 'book', 'ticket', 'backend', 'secure']"
35,"['love', 'team', 'run', 'gate', 'las', 'tonight', 'wait', 'delay', 'keep', 'things', 'entertain']"
36,"['thank', 'outstanding', 'nycjfk', 'crew', 'move', 'mountains', 'home', 'francisco', 'tonight']"
37,"['absolute', 'team', 'customer', 'service', 'every', 'time', 'fly', 'delight', 'thank']"
38,"['completely', 'awesome', 'experience', 'last', 'month', 'boslas', 'nonstop', 'thank', 'awesome', 'depart', 'time']"
39,"['rock', 'make', 'watch']"
40,"['always', 'xoxo']"
41,"['customer', 'service', 'rep', 'world', 'take', 'cake']"
42,"['amaze', 'staff', 'super', 'helpful', 'run', 'spoil', 'comfort']"
43,"['always', 'together', 'youre', 'welcome', 'youre', 'welcome']"
44,"['home', 'back']"
45,"['thank', 'check', 'ticket', 'purchase', 'customer', 'happy']"
46,"['thank', 'follow']"
47,"['youve', 'meet', 'match', 'status', 'another', 'upgrade', 'restr']"
48,"['way', 'fly']"
49,"['will', 'match', 'status', 'cool']"
50,['thank']
51,"['love', 'guy', 'song', 'dance', 'high', 'school', 'dance', 'revue']"
52,"['thank', 'quick', 'response', 'apparently', 'faster', 'sit', 'hold']"
53,"['cool', 'picture', 'another', 'plane', 'wing', 'site']"
54,"['keep', 'great', 'work']"
55,"['goodness', 'people', 'field', 'amaze', 'pressure', 'texas', 'crisis', 'please', 'fly']"
56,"['thank', 'great', 'pilot', 'great', 'job', 'land', 'snow', 'back', 'now']"
57,"['thank', 'awesome', 'support', 'guy', 'rock']"
58,"['twitter', 'team', 'guy', 'kill', 'reschedule', 'asap', 'thank']"
59,"['put', 'great', 'deal', 'pdx', 'las', 'las', 'pdx', 'show', 'love']"
60,"['wish', 'afford', 'fly', 'next', 'go', 'back', 'home', 'love', 'everything']"
61,['attendant']
62,"['awesome', 'watch', 'nominate', 'film', 'feet']"
63,['thank']
64,"['base', 'silicon', 'valley', 'fastcompanys']"
65,['nicely']
66,"['look', 'forward', 'watch', 'oscars', 'home', 'tomorrow', 'might', 'even', 'something', 'bubbly', 'drink']"
67,"['hahaha', 'guy', 'amaze', 'love', 'guy']"
68,"['sound', 'fun']"
69,"['classiq', 'luv', 'greetingz']"
70,"['thank', 'great', 'customer', 'service', 'today', 'help', 'travel', 'sort']"
71,"['thank', 'guy', 'sweet', 'route', 'rockies']"
72,"['love', '90s', 'music', 'blast', 'gate', 'wait', 'ice', 'coffee']"
73,"['thank', 'easy', 'itinerary', 'shift', 'impend', 'weather', 'quick', 'painless', 'free']"
74,"['thank', 'good', 'time', 'back', 'entire', 'flightsfo']"
75,"['youre', 'great', 'job', 'add', 'little', 'improve', 'travel', 'experience', 'thank', 'keep']"
76,"['thank', 'gate', 'check', 'baggage', 'full', 'dfwlax', 'give', 'early', 'board']"
77,['see']
78,"['inflight', 'team', 'make', 'experience']"
79,"['cutest', 'pepper', 'shaker', 'think', 'guy', 'cant', 'better']"
80,['fav']
81,"['hot', 'female', 'pilot', 'sweet', 'dca', 'sfo']"
82,['thank']
83,['love']
84,"['love', 'cant', 'wait', 'mondays', 'return', 'mostly', 'watch', 'inflight', 'safety', 'video']"
85,"['want', 'see', 'new', 'rout', 'plan', 'year', 'love', 'fly', 'guy', 'hope']"
86,"['mean', 'probably', 'inappropriate', 'board']"
87,"['happy', 'spend', 'day', 'together', 'let']"
88,"['understand', 'help', 'thx']"
89,"['thank', 'absolutely', 'will']"
90,"['free', 'drink', 'back', 'free', 'promo']"
91,['thank']
92,"['thank', 'take', 'care']"
93,"['thank', 'lovely', 'soft', 'view']"
94,"['adore', 'look', 'forward', 'two', 'weeks']"
95,"['glad', 'mention', 'take', 'first', 'years', 'back', 'transformative', 'experience']"
96,"['first', 'time', 'fly', 'go', 'thank', 'smooth', 'ride', 'easily', 'new', 'fav']"
97,"['promote', 'product', 'problem', 'southwest', 'recommend', 'noneother']"
98,"['love', 'guy', 'pls', 'direct', 'rout', 'las', 'aus']"
99,"['course', 'work', 'obsess', 'entire', 'family']"
100,"['first', 'time', 'fly', 'tonight']"
101,"['square', 'away', 'someone', 'pick', 'soon', 'tweet', 'tweet', 'sooner']"
102,"['course', 'fun', 'celebrate', 'thank', 'happy', 'chinese', 'new', 'year']"
103,"['book', 'problems', 'last', 'second', 'next', 'week', 'sfo', 'chance', 'want', 'gift', 'promo', 'code', 'love', 'guy']"
104,"['grandma', 'ellas', '80th', 'bday', 'greet', 'crew', 'stewardess', 'eastern', 'airlines']"
105,"['tix', 'atx', 'route', 'thank', 'add', 'love', 'website', 'transactional', 'site']"
106,"['give', 'credit', 'late', 'yesterday', 'great', 'service', 'thats', 'wow', 'moment', 'unexpected', 'gesture']"
107,"['safety', 'video', 'love', 'first', 'cross', 'country']"
108,"['doesnt', 'look', 'fat', 'look', 'yummy']"
109,"['omg', 'omg', 'nonstop']"
110,"['plan', 'really', 'pretty', 'think', 'know']"
111,['thank']
112,"['good', 'home']"
113,"['thank', 'need', 'way', 'make', 'trip', 'dca', 'now', 'youve', 'come']"
114,"['cool', 'never', 'plan', 'now', 'will']"
115,"['great', 'well', 'deserve']"
116,"['set', 'thank']"
117,"['giants', 'match', 'make', 'heaven']"
118,"['thank', 'goodness', 'see', 'nwksf']"
119,"['luv', 'people', 'product', 'thing', 'charge', 'herbal', 'tea', 'black', 'tea', 'caffeine', 'drinker']"
120,"['thank', 'see', 'yall', 'soon', 'excite', 'see', 'expansion', 'destinations', 'spread', 'wing']"
121,"['incredible', 'customer', 'service', 'ive', 'experience', 'refresh']"
122,"['dream', 'really', 'open', 'route', 'mean', 'might', 'next']"
123,"['omg', 'finally']"
124,"['dalaus', 'route', 'make', 'day']"
125,"['awesome', 'deal', 'dalaus', 'way']"
126,"['love', 'take', 'backyard', 'consumers', 'win', 'biz', 'compete']"
127,"['fly', 'love', 'now', 'excellent', 'news']"
128,"['congrats', 'new', 'route']"
129,"['artisanal', 'cheese', 'wine', 'pair']"
130,"['thats', 'classy']"
131,"['sure', 'lot', 'jfklhr', 'lot', 'faster', '513mph', 'strong', 'tailwind']"
132,"['now', 'tminus', 'minutes', 'elevate', 'silver', 'upgrade', 'window', 'open']"
133,"['rough', 'trip', 'luckily']"
134,"['another', 'perfect', 'come', 'plan', 'sun', 'visors', 'stay', 'carriers', 'make', 'raise']"
135,"['steel', 'might', 'faster', 'wifi', 'say']"
136,"['love', 'dance', 'little', 'richard', 'cool', 'bean']"
137,"['dont', 'use', 'passbook', 'still', 'love', 'though', 'ill', 'use', 'email', 'future']"
138,"['thank', 'free', 'birthday', 'point', 'yall', 'right']"
139,"['thank', 'share', 'add', 'site']"
140,"['dad', 'segway', 'part', 'whole', 'infographic']"
141,"['plan', 'short', 'haul', 'europe', 'defiantly', 'fly', 'guy']"
142,"['wifi', 'better', 'seat']"
143,"['great', 'return', 'call', 'day', 'couldnt', 'ask']"
144,"['loyal', 'drive', 'fly', 'cut']"
145,"['guy', 'perfect', 'always']"
146,"['thank', 'yall', 'customer', 'service', 'leave', 'industry']"
147,"['really', 'wish', 'youd', 'fly', 'fare', 'amaze']"
148,"['1pm', 'home', 'folks', 'ewr', 'incredible']"
149,"['fly', 'lax', 'sfo', 'look', 'awesome', 'movie', 'lineup', 'actually', 'wish', 'long', 'haul']"
150,['thank']
151,"['thank', 'take', 'care', 'happy', 'customer']"
152,"['thank', 'fill', 'hows', 'luck', 'common']"
153,"['thank', 'ticket']"
154,"['follow', 'please', 'beautifull']"
155,"['want', 'let', 'know', 'wonderful', 'gate', 'agent', 'work', 'dan', 'ase', 'let', 'know', 'wasappreciated']"
156,"['thank', 'helpgot', 'need', 'issue', 'austrian', 'guess', 'sit', 'awhile', 'longer']"
157,"['airport', 'snow', 'removal', 'method', 'keep', 'good', 'work', 'folks', 'cessnas', 'become', '747s']"
158,"['thank', 'able', 'claim', 'interim', 'expense', 'cost', 'stuff']"
159,"['fly', 'last', 'month', 'experience', 'awesome']"
160,"['work', 'coach', 'good', 'thing', 'bird', 'land', 'ahead', 'schedule', 'use', 'stat']"
161,"['record', 'rozana', 'lovely', 'helpful']"
162,"['thx', 'update']"
163,"['despite', 'bag', 'make', 'good', 'informative', 'email', 'track', 'update', 'help']"
164,"['wow', 'deal', 'plus', 'seat', 'available', 'easy', 'change', 'make', 'customer', 'happy']"
165,"['private', 'jet', 'cool', 'work', 'ill', 'try']"
166,"['thank', 'send']"
167,"['unrivalled', 'access', 'airports', 'nonstop', 'onestop', 'connections', 'yearround']"
168,"['thnx', 'info']"
169,"['kudos', 'cancel', 'flightling', 'dfw', 'morning', 'usually', 'first', 'panic']"
170,"['another', 'awesome', 'new', 'plane', 'extremely', 'captain', 'steve', 'connolly']"
171,"['every', 'guam', 'adventure', 'never', 'know', 'capeairs', 'old', 'plane', 'will', 'operational']"
172,"['thank', 'cheese', 'platter', 'abundance', 'entertainment', 'options', 'time', 'fly']"
173,"['thank', 'try', 'two', 'days', 'set']"
174,"['definitely', 'compliment', 'really', 'think', 'bag', 'lose', 'send', 'another', 'airport', 'end', 'happy', 'customer']"
175,"['thanx', 'follow', 'email', 'ticket', 'voucher', 'care']"
176,"['will', 'definitely', 'trip', 'remember', 'ewrsti', 'second', 'season', 'first', 'seat', '35a', 'pay', 'loyal']"
177,"['one', 'great']"
178,"['well', 'see', 'run', 'plane', 'run', 'thank', 'help']"
179,"['fly', 'aus', 'bergstrom', 'cancun', 'intl', '737s', 'big', 'small']"
180,"['ua3576', 'gate', 'tell', 'ray', 'somehow', 'make', 'iah', 'didnt', 'wait', 'one']"
181,"['thank', 'ask']"
182,['favorite']
183,"['cant', 'wait', 'book', 'ticket', 'now', 'thank', 'youre', 'life', 'sabe']"
184,"['guy', 'continue', 'impress']"
185,"['make', 'upgrade', 'list', 'will', 'fly', '1st', 'tomorrow', 'min', 'first', 'time']"
186,"['refund', 'vacation', 'free', 'room', 'night', 'make', 'make', 'sleep', 'dia']"
187,"['thank', 'reminder', 'fun', 'ride']"
188,"['terrific', 'many', 'thank', 'look', 'forward', 'back', 'tomorrow', 'great']"
189,"['appreciate', 'efforts', 'home']"
190,"['despite', 'shaky', 'connections', 'look', 'ill', 'home', 'tonight', 'great', 'job', 'touch']"
191,['thank']
192,"['thank', 'well', 'touch']"
193,"['thank', 'karen', 'iah', 'amaze', 'customer', 'service', 'find', 'daughters', 'bag', 'lose', 'ua1516', 'make', 'day']"
194,"['leave', 'comment', 'customer', 'care', 'thank', 'contact']"
195,"['yes', 'thank', 'see', 'speak', 'reservations', 'team', 'theyve', 'reinstate', 'thank']"
196,"['captain', 'behalf', 'front', 'office', 'welcome', 'board', 'never', 'hear', 'laughedhard']"
197,"['great', 'fare']"
198,"['awesome', 'ill', 'book', 'next', 'christmas', 'vacatinn', 'december', 'ways', 'want', 'devalue', 'mileage', 'plus']"
199,"['thank', 'secure', 'room', 'night', 'thx', 'helpful', 'customer', 'service', 'rep', 'dorns', 'thank']"
200,"['thank', 'fly', 'vaileagle']"
201,"['international', 'airport']"
202,"['thank', 'respond', 'quickly', 'helpful', 'tool']"
203,"['thank', 'take', 'care', 'everything', 'make', 'right', 'thats', 'experience', 'use', 'open', 'app', 'find', 'change']"
204,"['thats', 'exactly', 'point', 'fit', 'premier', 'access', 'board', 'group', 'return', 'ticket', 'ive', 'yrs']"
205,['thank']
206,"['favorite', 'way', 'travel', 'thank']"
207,['thank']
208,"['priority', 'iove']"
209,"['please', 'premier', 'platinum']"
210,"['thank', 'truutall', 'certainly', 'take', 'look', 'please', 'follow', 'confirmation', 'number', 'assistance']"
211,"['thank', 'listen', 'definitely', 'person', 'line', 'think', 'absurd']"
212,"['submit', 'thank', 'give', 'feedback']"
213,"['big', 'thank', 'winston', 'assist', 'phone', 'baggage', 'claim', 'issue', 'today', 'really', 'go', 'extra', 'mile']"
214,"['will', 'soon', 'article', 'thank', 'tom']"
215,"['thank', 'help']"
216,"['1491plane', 'sfo', 'den', 'basically', 'time']"
217,"['thank', 'program', 'comment', 'system', 'assign', 'seat', 'behind', 'even', 'though', 'pair', 'available', 'change', 'back']"
218,"['please', 'robin', 'ewr', 'premiere', 'desk', 'help', 'earlier', 'work', 'huge', 'thank']"
219,"['help', 'integrate', 'app', 'activate', 'surf']"
220,"['thank', 'kindness', 'agents', 'go', 'beyond', 'strand', 'family', 'home']"
221,"['look', 'beauty', 'airlines']"
222,['thx']
223,"['great', 'hear', 'thankyou', 'greatly', 'appreciate', 'reply', 'feel', 'settle', 'now']"
224,"['counter', 'agents', 'rdu', 'deserve', 'medal']"
225,"['thank', 'literally', 'call', 'preboarding', 'run']"
226,"['thats', 'brilliant', 'thankyou', 'class', 'part', 'carryon']"
227,"['thank', 'listen', 'compliant', 'right', 'thing', 'appreciate', 'work']"
228,"['great', 'ready', 'home']"
229,"['wow', 'even', 'answer', 'back', 'awesome', 'thats', 'customer', 'service']"
230,"['outsource', 'airlinesyour', 'customers', 'love', 'outsource', 'outsource', 'outsource']"
231,"['thank', 'need', 'follow', 'back', 'tho', 'cant']"
232,"['send', 'thank']"
233,"['thank', 'help', 'pick', 'bag', 'aspen', 'airport', 'come', 'today', 'flight911']"
234,"['love', 'help', 'today', 'now', 'will', 'take', 'connections', 'thx']"
235,['thank']
236,"['thank', 'update']"
237,"['confirm', 'seat', 'crisis', 'avert', 'beers', 'wont', 'miss', 'now']"
238,"['understand', 'thank', 'try', 'reach', 'sooner']"
239,"['den', 'b44', 'agent', '930am', 'amaze', 'mpagent', 'check', 'suck']"
240,"['travel', 'injure', 'gate', 'agent', 'awesome', 'help']"
241,['thank']
242,"['solve', 'finally', 'pick', 'second', 'time', 'call', 'thank', 'response', 'dull', 'work']"
243,"['customer', 'experience', 'via', 'twitter', 'huge', 'fan']"
244,"['love', 'new', '1st', 'class', 'breakfast']"
245,"['thank', 'look', 'back', 'via', 'glad', 'hear', 'bag', 'finally', 'deliver', 'thank']"
246,"['fly', 'sdf', 'atl', 'leave', 'early', 'arrive', 'early', 'crew', 'helpful', 'wifi', 'work']"
247,"['cool', 'thank']"
248,"['thank', 'recognize', 'terri', 'dull', 'go', 'way', 'back']"
249,"['able', 'send', 'good', 'now']"
250,"['michelle', 'ord', 'train', 'staff', 'treat', 'customers', 'refresh', 'pleasure', 'deal']"
251,"['ewr', 'agent', 'barbara', 'fabulous', 'example', 'cust', 'serv', 'pleasure', 'talk']"
252,"['thank', 'upgrade', 'today', 'great', 'way', 'start', 'week']"
253,"['impress', 'superfast', 'reply']"
254,"['help', 'awesome', 'tsa', 'representative', 'able', 'take', 'care', 'thank']"
255,"['staff', 'rather', 'efficient', 'solutions', 'freak', 'little', 'limbo']"
256,"['wan', 'grand', 'staff']"
257,"['wan', 'ride', 'love', 'airplane']"
258,"['youre', 'early', 'frontrunner']"
259,"['work', 'charm', 'bag', 'wait', 'carousel', 'baggage', 'claim']"
260,"['will', 'thank', 'help', 'cheer']"
261,"['next', 'two', 'weeks', 'let', 'make', 'good', 'memories']"
262,"['excellent', 'reliable']"
263,"['deliver', 'thank', 'make', 'sure', 'arrive', 'doorstep']"
264,"['look', 'reason', 'travel']"
265,"['sincerely', 'thank', 'pilot', 'brave', 'snow', 'home', 'amongst', 'many', 'cancel', 'flightlations']"
266,"['thank', 'lol', 'will', 'wait', 'per', 'tail', 'number']"
267,"['bummer', 'thank', 'quick', 'response']"
268,"['let', 'know', 'advance', 'reboot', 'yes', 'thank', 'attentiveness']"
269,"['want', 'compliment', 'phone', 'agent', 'jeanette', 'reflight', 'book', 'problems', 'rdu', 'sea', 'thru', 'sfo', 'connect', 'thru', 'ewr', 'cancel', 'flightled']"
270,"['social', 'media', 'team', 'point']"
271,"['thank', 'follow']"
272,"['claudia', 'iah', 'terminal', 'travel', 'assistance', 'set', 'great', 'service', 'thank']"
273,"['baggage', 'handlers', 'totally', 'impress', 'today', 'lungs', 'barely', 'make', 'run', 'connect', 'bag', 'problem']"
274,"['thank', 'first', 'time', 'lounge', 'felt', 'welcome']"
275,"['cancel', 'anytime', 'keep', 'night']"
276,"['thank', 'update', 'hour', 'delay', 'exact', 'second', 'atl']"
277,"['resolve', 'hour', 'work', 'grind', 'somehow', 'system', 'reset', 'takeoff', 'appreciate', 'quick', 'responseservice']"
278,"['add', 'earlier', 'tweet', 'daughters', '5th', 'bday', 'present', 'thank', 'hard', 'work', 'make', 'happen']"
279,"['guy', 'name', 'otis', 'ord', 'know', 'able', 'bag', 'upgrade', 'sure']"
280,"['wonderful', 'job', 'today', 'wife', 'daughter', 'pgh', 'delay', 'luggage']"
281,"['nope', 'even', 'better', 'seat', 'due', 'first', 'raise', 'hand', 'move', 'wasnt', 'fast', 'enough']"
282,"['look', 'beauty', 'dc10', 'airlines', 'hope', 'beauty']"
283,"['lovely', 'part', 'long', 'day', 'attendants', 'ua5168', 'ua795', 'beyond', 'exceptional', 'today']"
284,"['trust', 'enough', 'put', 'coat', 'check', 'bag']"
285,"['finally', 'make', 'rep', 'solve', 'problem']"
286,"['thank', 'gate', 'agent', 'extraordinaire', 'seau', 'fong', 'help', 'rebooked', 'hopefully', 'home', 'nyc', 'sometime', 'tonight']"
287,"['thank', 'yall', 'amaze', 'know', 'treat', 'customers', 'guy', 'rock']"
288,"['go', 'customer', 'service', 'kiosk', 'able', 'help', 'still', 'thank', 'follow']"
289,"['nope', 'set', 'thx', 'check']"
290,"['gate', 'b91', 'destination', 'santa', 'agent', 'ashley', 'amaze', 'job', 'face', 'angry', 'traveler', 'kudos']"
291,"['fine', 'automatically', 'change', 'connect', 'wouldnt', 'miss', 'work']"
292,"['thx', 'response', 'finally', 'min', 'wait', 'talk', 'someone']"
293,"['thx', 'dmd', 'conf', 'mqxc64', 'mpwnc2', 'help', 'appreciate']"
294,"['fly', 'never', 'issue']"
295,"['great', 'pvd', 'smallest', 'plane', 'smoothest', 'land']"
296,"['thank', 'passport', 'recover']"
297,"['thank', 'couple', 'minutes', 'ago', 'great', 'service', 'btw', 'please', 'pass', 'team']"
298,"['agents', 'service', 'weekend', 'trip', 'amaze', 'thank']"
299,"['will', 'need', 'cvg', 'bag', 'thank']"
300,['thank']
301,"['probably', 'least', 'dependable', 'western', 'hemisphere', 'belong', 'star', 'skyteam']"
302,"['amaze', 'hospitality', 'helpfulness', 'anthony', 'lastella', 'great', 'staff', 'def', 'fly']"
303,"['touch', 'far', 'nicely']"
304,"['comfortable', 'now', 'wait', 'luggage']"
305,"['finally', 'helpful', 'appreciate']"
306,"['thank', 'effort', 'earliest', 'though', 'will', 'make', 'complaint', 'refund', 'lose', 'one', 'business', 'day', 'tomorrow']"
307,['thank']
308,"['work', 'thank', 'immediate', 'reply']"
309,"['nicole', 'airport', 'take', 'great', 'care', 'week', 'handle', 'lose', 'baggage', 'seat', 'change', 'pat', 'back']"
310,"['thank', 'leave', 'year', 'old', 'row', 'laxiad']"
311,"['quick', 'sorry', 'hear', 'please', 'follow', 'detail', 'transpire']"
312,['thank']
313,['thank']
314,"['thank', 'fly', 'mess', 'iad', 'diego']"
315,"['thank', 'person', 'rout', 'go', 'sfo']"
316,"['bag', 'reference', 'number', 'ind43728m', 'thank', 'look']"
317,"['one', 'lady', 'help', 'luggage']"
318,"['meet', 'agent', 'take', 'care', 'thx', 'reply']"
319,"['still', 'airlines']"
320,"['thank', 'epic', 'service', 'always', 'pleasure', 'outstanding', 'crew']"
321,"['life', 'goal', 'complete']"
322,"['send', 'thank', 'acknowledgment']"
323,"['thank', 'appreciation', 'help']"
324,"['relax', 'space', 'drink', 'global', 'first', 'lounge']"
325,"['really', 'great', 'flatter', 'story', 'proud', 'via']"
326,"['two', 'seat', 'avail', 'far']"
327,"['board', 'finger', 'cross']"
328,"['thank', 'upgrade', 'please', 'try', 'company', 'approve', 'business', 'class', 'travel']"
329,"['hubby', 'make', 'skin', 'teeth']"
330,"['thank', 'excite', 'work', 'guy']"
331,"['tonight', 'make', 'fred', 'flintstone', 'happy', 'upgrade', '1st', 'class']"
332,"['thats', 'great', 'pls', 'let', 'know', 'start']"
333,"['thank', 'sure', 'arrange', 'move', 'earlier', 'gate', 'seat', 'assignment', 'super', 'agent', 'gate', 'ord']"
334,"['see', 'thank', 'explain']"
335,"['hour', 'wait', 'issue', 'resolve', 'contact', 'customer', 'service', 'comment', 'wait', 'time', 'thank', 'contact']"
336,"['yes', 'must', 'fix', 'break', 'ramp', 'thank']"
337,"['kurt', 'crew', 'ua1745', 'amaze', 'today', 'make', 'sons', 'birthday', 'kindness', 'hope', 'fly', 'soon']"
338,"['million', 'miler', 'fly', 'almost', 'every', 'week', 'observe', 'gate', 'crew', 'commit', 'good', 'operations']"
339,['thank']
340,"['thank', 'compensate', 'lose', 'bag', 'will', 'fly']"
341,"['ask', 'boyfriend', 'prom', 'loudspeaker', 'say', 'yes', 'day', 'thank']"
342,['appreciate']
343,"['hmmmseems', 'something', 'change']"
344,"['problem', 'follow', 'back', 'thank']"
345,"['amaze', 'kid', 'service', 'incredible']"
346,"['upgrade', 'first', 'class', 'way', 'fix', 'earlier', 'mistake', 'thank']"
347,"['rhonda', 'airport', 'redeem', 'guy', 'straighten']"
348,"['look', 'connection', 'delay', 'ill', 'make', 'thank']"
349,"['cldnt', 'happier', 'many', 'plastic', 'wing', 'pin', 'give', 'love', 'amaze', 'staff']"
350,"['thank', 'reply', 'better', 'seat', 'next', 'leg']"
351,"['thank', 'take', 'care', 'mom', 'reflight', 'book', 'problems', 'phl']"
352,"['ill', 'check', 'appreciate', 'response', 'regardless']"
353,"['phenomenal', 'frm', 'gate', 'sea', 'gate', 'iad']"
354,"['thank', 'hopefully', 'easily', 'resolve']"
355,"['will', 'thank']"
356,"['finally', 'give', 'let', 'threaten', 'send', 'back', 'vegas', 'coach', 'thnx']"
357,"['give', 'smile', 'today', 'zero', 'award', 'computers', 'sense', 'humour']"
358,"['cancel', 'trip', 'refund', 'without', 'difficulty', 'staff', 'extremely', 'helpful', 'complaints', 'way', 'handle', 'bad', 'weather']"
359,"['thank', 'help']"
360,"['youre', 'good', 'thank']"
361,"['wasnt', 'frustrate', 'well', 'way', 'relate', 'flightd', 'yall', 'anyway', 'impress', 'make']"
362,"['wifi', 'router', 'top', 'fuselage']"
363,"['impress', 'far', 'app', 'thats', 'worth', 'damn', 'sms', 'update']"
364,"['thank', 'daughters', '13th', 'party', 'wproj', 'weather', 'cond', 'doesnt', 'look', 'promise', 'please', 'assist', 'earlier', 'flts', 'cmh']"
365,"['will', 'kudos', 'capt', 'herman', 'relay', 'chief', 'pilot', 'email', 'someone']"
366,"['good', 'job', 'cle', 'tpa', 'schedule', 'inch', 'snow']"
367,['friendly']
368,"['provide', 'voucher', 'one', 'customers', 'will', 'tweet', 'day', 'long']"
369,"['stellar', 'customer', 'service', 'earn', 'business', 'attention', 'detail']"
370,"['service', 'staff', 'great', 'usual', 'cleanliness', 'smell', 'bite', 'ill', 'back', 'traveler']"
371,"['hey', 'youve', 'upgrade', 'hour', 'international', 'forgive', 'thank']"
372,"['yes', 'food', 'add', 'gluten', 'free', 'options', 'youre']"
373,"['thank', 'great', 'gfc', 'cheer']"
374,"['hold', 'plane', 'make']"
375,"['send', 'info', 'via', 'appreciate', 'help', 'consideration']"
376,"['early', 'back', 'home']"
377,['hope']
378,"['ill', 'make', 'sure', 'hes', 'thank', 'help', 'huge', 'race', 'try', 'make', 'sure', 'go', 'smoothly', 'peace']"
379,"['will', 'fill', 'yes', 'will', 'thank']"
380,"['attendant', 'extremely', 'helpful', 'woman', 'hard', 'time', 'walk', 'touch']"
381,"['send', 'thank']"
382,"['brian', 'sfo', 'customer', 'service', 'deserve', 'raise', 'give', 'extra', 'meal', 'voucher', 'good', 'joke', 'cheer', 'delay']"
383,"['thank', 'even']"
384,"['thank', 'take', 'care', 'call']"
385,"['awesome', 'thank', 'help']"
386,"['keep', 'watch', 'safety', 'video', 'first', 'time', 'forever', 'job']"
387,"['thank', 'lea', 'office', 'help', 'switch', 'cancel']"
388,"['thank', 'help', 'birthday', 'trip', 'ticket', 'confirm']"
389,"['great', 'land', 'next', 'rapid', 'city', 'snow', 'start', 'fallflorida', 'everglades', 'faint', 'sunburn', 'awayhere', 'come', 'cold']"
390,"['look', 'forward', 'fly', 'guy', 'well']"
391,"['bag', 'finally', 'deliver', 'intact', 'thank', 'assistance']"
392,"['guy', 'make', 'day', 'treat', 'well', 'thank']"
393,"['dont', 'know', 'last', 'name', 'karen', 'call', 'center', 'terrific', 'friendly', 'helpful', 'terrific', 'representative', 'kudos']"
394,"['thank', 'good', 'service', 'safe', 'way', 'home']"
395,"['go', 'great', 'improve', 'view', 'cheer', 'attendents', 'ua1022', 'deserve', 'raise']"
396,"['may', 'hit', 'new', 'status', 'year', 'ive', 'fly', 'several', 'time', 'year', 'try', 'book', 'yall', 'every', 'time']"
397,"['receive', 'notification', 'inflight', 'wifi', 'ua863', 'amaze']"
398,"['give', 'recognition', 'deserve']"
399,"['shes', 'type', 'person', 'make', 'customers', 'day', 'fly', 'time', 'year', 'shes', 'one', 'top', 'attendants', 'ive']"
400,"['suck', 'youre']"
401,['thank']
402,"['thank', 'reply', 'will', 'fill', 'form', 'submit', 'request', 'good', 'know', 'youre', 'pay', 'attention']"
403,"['gate', 'agent', 'alavera', 'amaze']"
404,"['win', 'top', 'mark', 'customer', 'service', 'via', 'twitter', 'turn', 'poor', 'experience', 'positive', 'many', 'thank', 'effort']"
405,"['experience', 'often', 'frustrate', '2day', 'ua5184', 'chi', 'wpg', 'attendant', 'april', 'shes']"
